alcohol,density,volatile acidity,chlorides,residual sugar,quality
8.8,1.001,0.27,0.045,20.7,6
9.5,0.994,0.3,0.049,1.6,6
10.1,0.9951,0.28,0.05,6.9,6
9.9,0.9956,0.23,0.058,8.5,6
9.6,0.9949,0.32,0.045,7.0,6
11.0,0.9938,0.22,0.044,1.5,6
12.0,0.9908,0.27,0.033,1.45,5
9.7,0.9947,0.23,0.035,4.2,5
10.8,0.992,0.18,0.04,1.2,5
12.4,0.9912,0.16,0.044,1.5,7
9.7,1.0002,0.42,0.04,19.25,5
11.4,0.9914,0.17,0.032,1.5,7
9.6,0.9928,0.48,0.046,1.1,6
12.8,0.9892,0.66,0.029,1.2,8
11.3,0.9917,0.34,0.033,1.1,6
9.5,0.9955,0.31,0.044,7.5,5
11.0,0.9912,0.31,0.038,2.9,7
10.5,0.993,0.26,0.049,1.7,8
9.3,0.9937,0.67,0.074,1.5,5
10.0,0.9951,0.27,0.052,1.3,6
10.4,0.9955,0.25,0.046,9.0,6
10.0,0.993,0.24,0.052,1.0,6
10.5,0.9961,0.28,0.051,8.7,6
11.6,0.9914,0.27,0.047,1.1,6
12.3,0.9906,0.32,0.033,2.0,7
10.0,0.9974,0.24,0.044,10.4,6
10.2,0.9934,0.14,0.042,1.1,6
10.8,0.992,0.25,0.05,2.05,6
9.0,0.9939,0.12,0.045,1.5,6
10.2,0.9962,0.27,0.044,14.95,5
12.8,0.9905,0.28,0.08,1.7,5
10.0,0.9934,0.39,0.051,5.4,5
11.2,0.9906,0.33,0.053,1.2,6
8.6,0.9999,0.24,0.057,17.95,5
9.4,0.9937,0.23,0.172,2.5,6
9.4,0.9937,0.24,0.173,2.9,6
9.8,0.9954,0.31,0.069,7.4,6
9.5,0.9934,0.24,0.057,1.4,6
9.5,0.9934,0.23,0.06,1.4,6
10.0,0.9931,0.18,0.058,1.4,7
9.8,0.994,0.45,0.063,4.4,4
9.8,0.9939,0.46,0.066,4.4,5
9.8,0.995,0.19,0.067,5.0,5
11.7,0.9917,0.19,0.062,1.6,6
11.0,0.9914,0.25,0.068,1.1,7
10.9,0.991,0.16,0.057,1.1,7
10.9,0.9911,0.18,0.045,1.0,6
9.1,0.993,0.2,0.147,0.9,6
11.0,0.9908,0.25,0.039,1.3,6
9.6,0.9962,0.21,0.043,11.9,6
8.9,0.9972,0.19,0.048,12.4,6
10.2,0.9931,0.38,0.044,4.6,6
9.9,0.9926,0.2,0.038,1.2,6
8.6,0.9951,0.22,0.092,4.9,6
10.5,0.991,0.47,0.035,1.1,5
10.3,0.9927,0.24,0.038,1.4,6
9.1,0.9934,0.35,0.064,1.2,5
12.6,0.9903,0.26,0.04,6.4,7
9.8,0.992,0.25,0.041,1.2,5
10.7,0.9926,0.23,0.046,2.1,8
9.5,0.9962,0.24,0.05,10.1,5
9.0,0.9956,0.27,0.056,7.8,6
9.5,0.9958,0.3,0.061,4.6,5
10.0,0.9964,0.27,0.063,4.8,5
9.1,0.9941,0.23,0.054,1.0,6
12.7,0.9898,0.18,0.043,1.4,7
12.0,0.9912,0.32,0.042,1.3,7
9.3,0.9961,0.18,0.064,8.8,5
9.0,0.9949,0.54,0.06,5.4,5
10.6,0.9929,0.22,0.053,1.4,6
9.2,0.9985,0.2,0.05,16.0,6
10.0,0.9946,0.34,0.063,6.1,5
9.5,0.9966,0.22,0.047,8.2,6
8.7,0.9974,0.43,0.045,11.8,5
8.7,0.9975,0.44,0.044,11.8,6
8.7,0.9974,0.39,0.044,11.0,6
9.7,0.9972,0.25,0.05,13.3,6
9.0,0.9957,0.27,0.049,7.5,5
12.6,0.99,0.24,0.035,1.7,7
12.6,0.9899,0.21,0.034,1.8,7
11.5,0.9916,0.17,0.04,1.7,7
9.2,0.9969,0.26,0.044,12.4,6
8.8,0.9979,0.34,0.046,15.9,6
11.4,0.9913,0.265,0.034,1.2,7
10.1,0.9956,0.36,0.038,10.5,4
9.1,0.9975,0.25,0.06,13.5,5
9.4,0.9962,0.12,0.054,9.6,5
9.4,0.997,0.21,0.05,12.1,5
9.0,1.0,0.305,0.059,18.9,5
9.2,0.9974,0.13,0.051,14.4,6
9.1,0.999,0.23,0.04,16.5,6
10.3,0.9927,0.33,0.051,1.3,5
8.8,0.9959,0.17,0.082,8.5,6
8.9,1.0,0.27,0.052,18.75,5
9.2,0.9982,0.31,0.056,13.3,5
9.1,0.9968,0.41,0.049,9.2,5
9.7,0.994,0.485,0.065,1.5,4
11.3,0.9914,0.31,0.041,3.3,6
11.8,0.9911,0.14,0.035,1.7,6
9.2,0.9982,0.32,0.06,13.3,5
10.2,0.9934,0.36,0.046,5.7,5
8.8,0.9984,0.24,0.054,12.2,5
9.7,0.9952,0.16,0.059,6.85,5
9.1,0.9952,0.19,0.058,5.0,6
9.8,0.9928,0.13,0.092,1.6,6
11.0,0.9912,0.19,0.026,1.1,6
10.5,0.994,0.39,0.033,7.0,5
9.7,0.9958,0.24,0.038,7.6,7
10.9,0.9924,0.3,0.044,2.8,7
10.9,0.9924,0.3,0.046,2.7,6
10.6,0.994,0.26,0.02,10.4,5
9.0,0.9979,0.425,0.038,13.1,5
9.2,0.9982,0.24,0.035,15.8,5
8.9,0.9961,0.27,0.034,8.1,5
9.6,0.9979,0.27,0.036,15.7,5
10.7,0.992,0.23,0.027,1.2,6
8.7,0.9975,0.37,0.045,10.5,5
